"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"Professor Longhair","Ann","F","0","Banks","214.20363","free","Salt Lake City, UT","124","Mean Ol'World","99"
"Gary Hobbs","Jahiem","M","1","Miles","245.52444","free","San Antonio-New Braunfels, TX","42","En Mi Mundo","43"
"Lifehouse","Jahiem","M","2","Miles","203.59791","free","San Antonio-New Braunfels, TX","42","We'll Never Know","43"
"Olivia Ruiz","Jahiem","M","3","Miles","254.74567","free","San Antonio-New Braunfels, TX","42","Cabaret Blanco","43"
"Jordan Rudess","Cecilia","F","1","Owens","1367.84934","free","Atlanta-Sandy Springs-Roswell, GA","225","Tarkus","6"
"Deerhunter","Jayden","M","0","Graves","162.08934","paid","Marinette, WI-MI","128","Weird Era","25"
"Daughtry","Jayden","M","1","Graves","249.91302","paid","Marinette, WI-MI","128","No Surprise","25"
"Vinylshakerz","Jayden","M","6","Graves","207.25506","paid","Marinette, WI-MI","128","Club Tropicana","25"
"Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner","Jayden","M","7","Graves","277.15873","paid","Marinette, WI-MI","128","Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile)","25"
"Son House","Jayden","M","8","Graves","182.43873","paid","Marinette, WI-MI","128","Depot Blues","25"
"Jason Mraz & Colbie Caillat","Jayden","M","9","Graves","189.6224","paid","Marinette, WI-MI","128","Lucky (Album Version)","25"
"The Romantics","Jayden","M","10","Graves","233.7171","paid","Marinette, WI-MI","128","Talking In Your Sleep","25"
"The Postal Service","Jayden","M","11","Graves","266.47465","paid","Marinette, WI-MI","128","Such Great Heights","25"
"Tweet","Jayden","M","12","Graves","281.80853","paid","Marinette, WI-MI","128","Always Will (LP Version)","25"
"Gang Starr/Inspectah Deck","Jayden","M","13","Graves","225.07057","paid","Marinette, WI-MI","128","Above The Clouds (Edited)","25"
"Kanye West","Jayden","M","14","Graves","164.38812","paid","Marinette, WI-MI","128","Coldest Winter","25"
"Shunza","Jayden","M","15","Graves","250.93179","paid","Marinette, WI-MI","128","Nan Ni Wan","25"
"Erykah Badu","Jayden","M","16","Graves","286.9024","paid","Marinette, WI-MI","128","Back In The Day","25"
"Mariza","Maia","F","0","Burke","239.3073","free","Houston-The Woodlands-Sugar Land, TX","143","Vielas De Alfama","51"
"Asia 2001","Jayden","M","22","Graves","150.30812","paid","Marinette, WI-MI","128","Epilogue","25"
"Alejandro Sanz","Maia","F","1","Burke","230.24281","free","Houston-The Woodlands-Sugar Land, TX","143","Non E_ Per Te_ Per Me","51"
